Plot Title: BridgerCreek_EC,,,,,,,,,,
#,"Date Time, GMT-07:00","Full Range, μS/cm (LGR S/N: 10778332, SEN S/N: 10778332)","Temp, °C (LGR S/N: 10778332, SEN S/N: 10778332)",Coupler Detached (LGR S/N: 10778332),Coupler Attached (LGR S/N: 10778332),Bad Battery (LGR S/N: 10778332),Good Battery (LGR S/N: 10778332),Host Connected (LGR S/N: 10778332),Stopped (LGR S/N: 10778332),End Of File (LGR S/N: 10778332)
1,1/30/2026 10:50,7.1,19.72,Logged,,,,,,
2,1/30/2026 10:50,7.1,19.72,,,,,,,
3,1/30/2026 10:50,7.1,19.72,,,,,,,
4,1/30/2026 10:50,7.1,19.73,,,,,,,
5,1/30/2026 10:50,7.1,19.73,,,,,,,
6,1/30/2026 10:50,7.1,19.73,,,,,,,
7,1/30/2026 10:50,7.1,19.73,,,,,,,
8,1/30/2026 10:50,7.1,19.73,,,,,,,
9,1/30/2026 10:50,7.1,19.74,,,,,,,
10,1/30/2026 10:50,7.1,19.73,,,,,,,
11,1/30/2026 10:50,7.1,19.73,,,,,,,
12,1/30/2026 10:50,7.1,19.73,,,,,,,
13,1/30/2026 10:50,7.1,19.73,,,,,,,
14,1/30/2026 10:50,7.1,19.74,,,,,,,
15,1/30/2026 10:50,7.1,19.73,,,,,,,
16,1/30/2026 10:50,7.1,19.74,,,,,,,
17,1/30/2026 10:50,7.1,19.74,,,,,,,
18,1/30/2026 10:50,7.1,19.74,,,,,,,
19,1/30/2026 10:50,7.1,19.74,,,,,,,
20,1/30/2026 10:50,4.8,19.74,,,,,,,
21,1/30/2026 10:50,7.1,19.74,,,,,,,
22,1/30/2026 10:50,7.1,19.76,,,,,,,
23,1/30/2026 10:50,7.1,19.76,,,,,,,
24,1/30/2026 10:50,7.1,19.76,,,,,,,
25,1/30/2026 10:50,3.7,19.74,,,,,,,
26,1/30/2026 10:50,7.1,19.76,,,,,,,
27,1/30/2026 10:50,4.8,19.77,,,,,,,
28,1/30/2026 10:50,7.1,19.76,,,,,,,
29,1/30/2026 10:50,7.1,19.76,,,,,,,
30,1/30/2026 10:50,4.8,19.76,,,,,,,
31,1/30/2026 10:50,7.1,19.76,,,,,,,
32,1/30/2026 10:50,7.1,19.77,,,,,,,
33,1/30/2026 10:50,7.1,19.76,,,,,,,
34,1/30/2026 10:50,4.8,19.76,,,,,,,
35,1/30/2026 10:50,7.1,19.77,,,,,,,
36,1/30/2026 10:50,7.1,19.77,,,,,,,
37,1/30/2026 10:50,7.1,19.77,,,,,,,
38,1/30/2026 10:50,7.1,19.77,,,,,,,
39,1/30/2026 10:50,7.1,19.77,,,,,,,
